,feature,coef,std err,t,P>|t|,[0.025,0.975]
0,const,118300.0,56500.0,2.092,0.036000000000000004,7452.595,229000.0
1,bathrooms_3.0,22780.0,9754.427,2.336,0.02,3662.702,41900.0
2,bathrooms_3.25,27420.0,11000.0,2.4930000000000003,0.013000000000000001,5864.383000000001,49000.0
3,bathrooms_4.0,128400.0,24000.0,5.354,0.0,81400.0,175000.0
4,bathrooms_4.25,103900.0,29000.0,3.5780000000000003,0.0,47000.0,161000.0
5,bathrooms_4.5,144300.0,25700.0,5.626,0.0,94100.0,195000.0
6,bathrooms_4.75,331500.0,50700.0,6.531000000000001,0.0,232000.0,431000.0
7,bathrooms_5.5,576200.0,80600.0,7.153,0.0,418000.0,734000.0
8,bathrooms_5.75,-594200.0,130000.0,-4.57,0.0,-849000.0,-339000.0
9,bathrooms_6.0,774300.0,113000.0,6.8389999999999995,0.0,552000.0,996000.0
10,bathrooms_6.25,1672000.0,223000.0,7.507000000000001,0.0,1240000.0,2110000.0
11,bathrooms_6.5,-583900.0,158000.0,-3.695,0.0,-894000.0,-274000.0
12,bathrooms_6.75,628500.0,159000.0,3.9619999999999997,0.0,318000.0,939000.0
13,bathrooms_7.75,-2893000.0,239000.0,-12.088,0.0,-3360000.0,-2420000.0
14,bathrooms_8.0,-789100.0,227000.0,-3.483,0.0,-1230000.0,-345000.0
15,bedrooms_6,-11530.0,4456.7029999999995,-2.5869999999999997,0.01,-20300.0,-2794.704
16,bedrooms_7,-30620.0,7699.265,-3.978,0.0,-45700.0,-15500.0
17,bedrooms_8,-64910.0,16800.0,-3.8560000000000003,0.0,-97900.0,-31900.0
18,bedrooms_11,-366400.0,112000.0,-3.279,0.001,-585000.0,-147000.0
19,floors_2.0,-14770.0,5223.768,-2.827,0.005,-25000.0,-4529.787
20,floors_2.5,55140.0,20500.0,2.695,0.006999999999999999,15000.0,95300.0
21,floors_3.0,-45750.0,12000.0,-3.813,0.0,-69300.0,-22200.0
22,condition_2,154100.0,57600.0,2.676,0.006999999999999999,41200.0,267000.0
23,condition_3,142300.0,54000.0,2.633,0.008,36400.0,248000.0
24,condition_4,167200.0,54100.0,3.092,0.002,61200.0,273000.0
25,condition_5,220300.0,54300.0,4.056,0.0,114000.0,327000.0
26,grade_4,161200.0,15500.0,10.367,0.0,131000.0,192000.0
27,grade_5,503000.0,30000.0,16.769000000000002,0.0,444000.0,562000.0
28,grade_6,356500.0,80400.0,4.436,0.0,199000.0,514000.0
29,grade_8,-164100.0,51500.0,-3.187,0.001,-265000.0,-63200.0
30,grade_9,-203700.0,20800.0,-9.771,0.0,-245000.0,-163000.0
31,grade_10,-214700.0,13300.0,-16.164,0.0,-241000.0,-189000.0
32,grade_11,-195300.0,11000.0,-17.672,0.0,-217000.0,-174000.0
33,grade_12,-169600.0,9863.694,-17.191,0.0,-189000.0,-150000.0
34,grade_13,-105800.0,9460.276,-11.18,0.0,-124000.0,-87200.0
35,zipcode_98004,643400.0,15300.0,42.105,0.0,613000.0,673000.0
36,zipcode_98005,260700.0,20100.0,12.966,0.0,221000.0,300000.0
37,zipcode_98006,230200.0,12800.0,18.054000000000002,0.0,205000.0,255000.0
38,zipcode_98007,221700.0,21400.0,10.337,0.0,180000.0,264000.0
39,zipcode_98008,255500.0,15800.0,16.162,0.0,225000.0,287000.0
40,zipcode_98010,63110.0,26500.0,2.378,0.017,11100.0,115000.0
41,zipcode_98011,148700.0,18400.0,8.07,0.0,113000.0,185000.0
42,zipcode_98014,110900.0,24300.0,4.553,0.0,63100.0,159000.0
43,zipcode_98019,98410.0,19400.0,5.083,0.0,60500.0,136000.0
44,zipcode_98024,135400.0,29900.0,4.53,0.0,76800.0,194000.0
45,zipcode_98027,149500.0,13600.0,10.988,0.0,123000.0,176000.0
46,zipcode_98028,123700.0,15700.0,7.854,0.0,92800.0,155000.0
47,zipcode_98029,197800.0,14900.0,13.311,0.0,169000.0,227000.0
48,zipcode_98033,319700.0,13400.0,23.807,0.0,293000.0,346000.0
49,zipcode_98034,192900.0,12000.0,16.054000000000002,0.0,169000.0,216000.0
50,zipcode_98038,36610.0,11500.0,3.19,0.001,14100.0,59100.0
51,zipcode_98039,930300.0,36700.0,25.366999999999997,0.0,858000.0,1000000.0
52,zipcode_98040,492800.0,16600.0,29.624000000000002,0.0,460000.0,525000.0
